,tweets,id,len,date,source,likes,retweets,locaion_geo,locaion_coordinates,locaion_place,language,username,user_locaion,user_bio,user_followers_count,user_following_count,user_verified,user_tweeted_count,sentiment
10,"I'll be giving two talks this week:

Tuesday 15:30 - A detection of [CII] in a brightly lensed galaxy in the Epoch… https://t.co/bl3wYpzDRA",1277497667183149059,139,2020-06-29 07:02:33,Twitter Web App,0,0,,,,en,SJMolyneux,,"Astronomy PhD student at @LJMU_Astro, researching high redshift galaxies and AGN. 
Science Communicator, (Astro)Photography, Wigan Athletic, F1",849,1554,False,15550,1
11,#EASLeiden2020,1277497776625061893,14,2020-06-29 07:02:59,TweetDeck,0,0,,,,und,EAS_meeting,,Official Twitter Account of the @EAS_astro Annual Meeting  #EASLeiden2020,461,365,False,374,0
12,Glad to be @RUastro @radboudscience in Nijmegen today for the online #EASLeiden2020 meeting! #blueskies #astronomy… https://t.co/ZmPIUhb6d0,1277497896116592640,139,2020-06-29 07:03:27,Twitter for Android,0,0,,,,en,AmandaMKramer,,,24,94,False,250,1
13,"First talk begins with @AstronoVee talking about IAU's role in socioeconomic development, in the context of the Uni… https://t.co/IHgBlSnze2",1277498248106737665,140,2020-06-29 07:04:51,Twitter Web App,0,0,,,,en,Astro4Earth,,"Astronomy students, educators, & scientists addressing the climate crisis from the astronomical perspective. Join the conversation with #Astro4Earth!",235,130,False,209,1
14,Começando o dia com apresentação do PLOAD na Sessão Especial de Astronomia para Desenvolvimento da Reunião Anual da… https://t.co/ysI4qnOsJi,1277498498561253376,140,2020-06-29 07:05:51,Twitter Web App,0,0,,,,pt,gurojas,"Lisboa, Portugal",Astronomer @nuclio_pt @FC_UL @ufscaroficial / Colunista @revistagalileu & @Estadao / Comissão Organizadora OBA,2573,394,False,1063,0
15,"@Astro4Earth @EAS_meeting Pssst, the hashtag is @EASLeiden2020 https://t.co/Lxvd1bsMtE :)",1277498630174322689,89,2020-06-29 07:06:22,TweetDeck,0,0,,,,en,vicgrinberg,"Tübingen (with bits of my heart left in Munich, Amsterdam and Boston)",astrophysicist | junior group leader @uni_tue | language+literature | public speaker #scicomm/#wisskomm | X-rays=💚 | @drremeis⇒@MIT⇒@ESA⇒#IAAT | opinions own,1605,544,False,8372,0
16,RT @EAS_meeting: #EASLeiden2020 https://t.co/7RFkLJTFCK,1277498693063708674,55,2020-06-29 07:06:37,TweetDeck,0,0,,,,und,vicgrinberg,"Tübingen (with bits of my heart left in Munich, Amsterdam and Boston)",astrophysicist | junior group leader @uni_tue | language+literature | public speaker #scicomm/#wisskomm | X-rays=💚 | @drremeis⇒@MIT⇒@ESA⇒#IAAT | opinions own,1605,544,False,8373,0
17,RT @Astro4Earth: Have you seen today's morning welcome e-mail from the @EAS_meeting? The #ClimateCrisis related issues and sessions are esp…,1277498884277878785,140,2020-06-29 07:07:23,Twitter for Android,0,0,,,,en,KnudJahnke,,"Astronomer, #ESAEuclid developer, cares enthusiastically about #space, #urbanism, #climatechange, and #HumanPoweredVehicles",740,308,False,20410,1
18,#EASLeiden2020 is underway! Hope this virtual conference format is successful and that there is at least a virtual… https://t.co/ivwc7kLr5U,1277499724459892736,139,2020-06-29 07:10:43,Twitter Web App,0,0,,,,en,galaxy_map,8178 +/- 35 pc from Sgr A*,The first accurate and detailed maps of the Milky Way.,2612,328,False,5394,1
19,"Now @SpacegeekSera is on the air in @EAS_meeting SS16 with ""EHT @ehtelescope + multi-wavelength campaigns: connecti… https://t.co/h11h6TBXqy",1277500050256662534,140,2020-06-29 07:12:01,Twitter Web App,0,0,,,,en,jivedirector,"Dwingeloo, the Netherlands","Francisco 'Paco' Colomer, Director of the Joint Institute for VLBI ERIC (JIVE). Opinions are my own.",569,1022,False,1418,0
20,And here we go for @EAS_meeting 2020! Join us at the CGM science session S15 today and tomorrow morning!,1277500175704096768,104,2020-06-29 07:12:31,Twitter Web App,0,0,,,,en,maximetrebitsch,"Heidelberg, Germany","Postdoctoral researcher, working on distant galaxies with big computers. PhD @obslyon → @astroIAP, → @mpi_astro and @zah_hd. `implicit none` society.",507,773,False,5132,0
21,RT @EAS_meeting: Good morning! EASLeiden2020 starts in less than half an hour. We hope you’ll have a great conference. We  invite you at 11…,1277500662272733184,140,2020-06-29 07:14:27,Twitter Web App,0,0,,,,en,mampommier,"Lyon, France","Radio Astronomer,  CRAL-Lyon Observatory Clusters, Galaxies, AGNs, Distant Universe, Radio astronomy, Optical/IR astronomy
SKA, LOFAR, GMRT",63,666,False,442,1
22,"@AstronoVee We have two approaches:
1. Grassroots projects where individuals run the projects and funded by the… https://t.co/tuBQwgvBdd",1277500918204940289,136,2020-06-29 07:15:28,Twitter Web App,0,0,,,,en,Astro4Earth,,"Astronomy students, educators, & scientists addressing the climate crisis from the astronomical perspective. Join the conversation with #Astro4Earth!",236,130,False,211,0
23,"RT @andmerloni: And, of course, don't miss my Tuesday plenary on @eROSITA_SRG, as well as the talks of @dresrabulbul and @ThomasReiprich. H…",1277501138653380608,140,2020-06-29 07:16:20,Twitter Web App,0,0,,,,en,eROSITA_SRG,"Garching bei München, Germany","First imaging all-sky survey mission in the 0.3-10 keV X-ray band. Main instrument on-board the Russian-German ""Spectrum-Roentgen-Gamma"" (SRG) mission.",1828,34,False,745,0
24,"@Astro4Earth: The other type are 
2. the Flagship projects. #EASLeiden2020 https://t.co/dykvduzs3b",1277501195402297344,98,2020-06-29 07:16:34,Twitter Web App,0,0,,,,en,Astro4Earth,,"Astronomy students, educators, & scientists addressing the climate crisis from the astronomical perspective. Join the conversation with #Astro4Earth!",236,130,False,212,-1
25,RT @dresrabulbul: Super excited that I will be giving the first @eROSITA_SRG Cluster Science Talk at the @EAS_meeting Session 4b tomorrow (…,1277501234442842112,140,2020-06-29 07:16:43,Twitter Web App,0,0,,,,en,eROSITA_SRG,"Garching bei München, Germany","First imaging all-sky survey mission in the 0.3-10 keV X-ray band. Main instrument on-board the Russian-German ""Spectrum-Roentgen-Gamma"" (SRG) mission.",1828,34,False,746,1
26,"@AstronoVee: The current sustainability goals and how interdisciplinary approach is needed to attain those, and how… https://t.co/NvC2B50ynV",1277501825160286210,140,2020-06-29 07:19:04,Twitter Web App,0,0,,,,en,Astro4Earth,,"Astronomy students, educators, & scientists addressing the climate crisis from the astronomical perspective. Join the conversation with #Astro4Earth!",235,130,False,213,0
